movie,year,rating,reviewer_count
Det sjunde inseglet,(1957),8.1,"187,714"
Mary and Max.,(2009),8.1,"179,267"
How to Train Your Dragon,(2010),8.1,"749,986"
Room,(2015),8.1,"426,437"
"Monsters, Inc.",(2001),8.1,"919,695"
Jaws,(1975),8.1,"615,176"
Dead Poets Society,(1989),8.1,"500,314"
The Big Lebowski,(1998),8.1,"817,341"
Tôkyô monogatari,(1953),8.1,"63,082"
La passion de Jeanne d'Arc,(1928),8.1,"56,342"
Hotel Rwanda,(2004),8.0,"359,191"
Ford v Ferrari,(2019),8.0,"405,358"
Rocky,(1976),8.0,"586,161"
Platoon,(1986),8.0,"418,968"
Ratatouille,(2007),8.0,"750,896"
Spotlight,(2015),8.0,"475,993"
The Terminator,(1984),8.0,"875,148"
Logan,(2017),8.0,"774,576"
Stand by Me,(1986),8.0,"410,340"
Rush,(2013),8.0,"485,657"
Network,(1976),8.0,"161,673"
Before Sunset,(2004),8.0,"269,465"
Into the Wild,(2007),8.0,"629,321"
The Wizard of Oz,(1939),8.0,"405,635"
Pather Panchali,(1955),8.0,"34,238"
Groundhog Day,(1993),8.0,"642,203"
The Best Years of Our Lives,(1946),8.0,"66,088"
The Exorcist,(1973),8.0,"414,787"
To Be or Not to Be,(1942),8.0,"38,786"
The Incredibles,(2004),8.0,"748,948"
La haine,(1995),8.0,"177,837"
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),8.0,"1,139"
La battaglia di Algeri,(1966),8.0,"61,569"
Jai Bhim,(2021),8.0,"204,421"
Hachi: A Dog's Tale,(2009),8.0,"290,521"
The Grapes of Wrath,(1940),8.0,"95,009"
Babam ve Oglum,(2005),8.0,"87,438"
Rebecca,(1940),8.0,"139,168"
Amores perros,(2000),8.0,"243,422"
Cool Hand Luke,(1967),8.0,"179,504"
Ah-ga-ssi,(2016),8.0,"152,859"
Les quatre cents coups,(1959),8.0,"120,410"
The Sound of Music,(1965),8.0,"240,541"
It Happened One Night,(1934),8.0,"105,877"
Persona,(1966),8.0,"121,616"
Life of Brian,(1979),8.0,"404,595"
The Iron Giant,(1999),8.0,"204,142"
Dersu Uzala,(1975),8.0,"31,085"
The Help,(2011),8.0,"465,418"
Aladdin,(1992),8.0,"428,470"
Gandhi,(1982),8.0,"234,455"
Dances with Wolves,(1990),8.0,"271,297"
